R,Player,Age,Continet,Team,TeamA,TeamB,TeamC,Position,FW,MF,DF,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS,AerialsWon,MotM,Rating,Rating2,Drb,Tackles,Blocks,Clear,Inter
83,Eric Maxim Choupo0Moting,29,0,Stoke  ,0,0,1,FW,1,0,0,26(4),2248,5,5,3,0,2,73,2,3,6.93,6.06,2,1.4,0.1,0.8,0.8
84,Chris Brunt ,33,1,West Bromwich Albion,0,0,1,MF,0,0,0,22(4),1923,0,7,5,0,1,73.6,0.6,0,6.93,6.04,0.6,1.6,0.2,1.5,0.8
85,Oriol Romeu ,26,1,Southampton  ,0,0,1,MF,0,0,0,34,2903,1,0,11,0,0.8,82.6,2.9,1,6.92,6.37,0.4,2.7,0.6,2.1,2
86,Antonio R?diger ,25,1,Chelsea  ,1,0,0,DF,0,0,1,25(2),2336,2,1,4,0,0.6,89.5,2.2,1,6.92,6.08,0.3,1.1,0.6,3.7,0.9
87,Sead Kolasinac ,25,1,Arsenal  ,0,1,0,DF,0,0,1,25(2),2152,2,4,3,0,0.8,80.1,1.7,1,6.92,6.16,0.4,1.8,0.1,2,1
88,Joel Matip ,26,0,Liverpool  ,1,0,0,DF,0,0,1,22(3),1995,1,0,3,0,0.4,88.7,2.3,0,6.92,6.47,0.1,1.4,0.6,3.8,1.4
89,Jordan Ayew ,26,0,Swansea  ,0,0,1,FW,1,0,0,33(3),2859,7,2,2,1,1.8,82.6,1.4,6,6.91,6.25,2.1,2.3,0.1,0.5,0.7
90,Danilo  ,27,0,Manchester City ,1,0,0,DF,0,0,1,13(10),1342,3,2,2,0,0.8,89.9,0.7,2,6.91,6.05,0.3,1.9,0.3,1.2,0.8
91,Christian Benteke ,27,1,Crystal Palace ,0,1,0,FW,1,0,0,24(7),2238,3,5,6,0,1.9,56.4,7.8,2,6.91,6.07,0.5,0.4,0.1,1.4,0.1
92,Victor Moses ,27,0,Chelsea  ,1,0,0,MF,0,0,0,25(3),2119,3,3,3,0,1.3,76.6,1,1,6.9,6.29,1.1,1.3,0.1,1.1,0.5
